-2,-2,-4,-3.72434
-2,-1.5,-3.5,-3.34544
-2,-1,-3,-2.93664
-2,-0.5,-2.5,-2.49916
-2,0,-2,-2.03527
-2,0.5,-1.5,-1.5484
-2,1,-1,-1.04309
-2,1.5,-0.5,-0.524877
-2,2,0,-1.21733e-05
-1.5,-2,-3.5,-3.34546
-1.5,-1.5,-3,-2.93666
-1.5,-1,-2.5,-2.49918
-1.5,-0.5,-2,-2.03528
-1.5,0,-1.5,-1.5484
-1.5,0.5,-1,-1.04309
-1.5,1,-0.5,-0.524877
-1.5,1.5,0,-9.12611e-06
-1.5,2,0.5,0.524861
-1,-2,-3,-2.93668
-1,-1.5,-2.5,-2.49919
-1,-1,-2,-2.03529
-1,-0.5,-1.5,-1.54841
-1,0,-1,-1.04309
-1,0.5,-0.5,-0.524875
-1,1,0,-6.08223e-06
-1,1.5,0.5,0.524865
-1,2,1,1.04309
-0.5,-2,-2.5,-2.4992
-0.5,-1.5,-2,-2.03529
-0.5,-1,-1.5,-1.54841
-0.5,-0.5,-1,-1.0431
-0.5,0,-0.5,-0.524873
-0.5,0.5,0,-3.04056e-06
-0.5,1,0.5,0.524868
-0.5,1.5,1,1.04309
-0.5,2,1.5,1.54841
0,-2,-2,-2.0353
0,-1.5,-1.5,-1.54841
0,-1,-1,-1.04309
0,-0.5,-0.5,-0.524871
0,0,0,-8.53425e-20
0,0.5,0.5,0.524871
0,1,1,1.04309
0,1.5,1.5,1.54841
0,2,2,2.0353
0.5,-2,-1.5,-1.54841
0.5,-1.5,-1,-1.04309
0.5,-1,-0.5,-0.524868
0.5,-0.5,0,3.04056e-06
0.5,0,0.5,0.524873
0.5,0.5,1,1.0431
0.5,1,1.5,1.54841
0.5,1.5,2,2.03529
0.5,2,2.5,2.4992
1,-2,-1,-1.04309
1,-1.5,-0.5,-0.524865
1,-1,0,6.08223e-06
1,-0.5,0.5,0.524875
1,0,1,1.04309
1,0.5,1.5,1.54841
1,1,2,2.03529
1,1.5,2.5,2.49919
1,2,3,2.93668
1.5,-2,-0.5,-0.524861
1.5,-1.5,0,9.12611e-06
1.5,-1,0.5,0.524877
1.5,-0.5,1,1.04309
1.5,0,1.5,1.5484
1.5,0.5,2,2.03528
1.5,1,2.5,2.49918
1.5,1.5,3,2.93666
1.5,2,3.5,3.34546
2,-2,0,1.21733e-05
2,-1.5,0.5,0.524877
2,-1,1,1.04309
2,-0.5,1.5,1.5484
2,0,2,2.03527
2,0.5,2.5,2.49916
2,1,3,2.93664
2,1.5,3.5,3.34544
2,2,4,3.72434
