x,tanh_x,ann_x
-1.9,-0.956237,-0.94282
-1.8,-0.946806,-0.933648
-1.7,-0.935409,-0.922727
-1.6,-0.921669,-0.90971
-1.5,-0.905148,-0.894187
-1.4,-0.885352,-0.875678
-1.3,-0.861723,-0.853632
-1.2,-0.833655,-0.827424
-1.1,-0.800499,-0.796363
-1,-0.761594,-0.759713
-0.9,-0.716298,-0.716718
-0.8,-0.664037,-0.666658
-0.7,-0.604368,-0.608915
-0.6,-0.53705,-0.543059
-0.5,-0.462117,-0.468951
-0.4,-0.379949,-0.386841
-0.3,-0.291313,-0.297447
-0.2,-0.197375,-0.201991
-0.1,-0.099668,-0.102172
6.38378e-16,6.38378e-16,-6.18329e-05
0.1,0.099668,0.102059
0.2,0.197375,0.201908
0.3,0.291313,0.29741
0.4,0.379949,0.386862
0.5,0.462117,0.469035
0.6,0.53705,0.543205
0.7,0.604368,0.609118
0.8,0.664037,0.666911
0.9,0.716298,0.717011
1,0.761594,0.760035
1.1,0.800499,0.796706
1.2,0.833655,0.827777
1.3,0.861723,0.85399
1.4,0.885352,0.876033
1.5,0.905148,0.894535
1.6,0.921669,0.910048
1.7,0.935409,0.923052
1.8,0.946806,0.933958
1.9,0.956237,0.943115
2,0.964028,0.950814
