x,f_x,ann_x
-0.95,1.71,1.32849
-0.9,1.44,1.18309
-0.85,1.19,1.03749
-0.8,0.96,0.892819
-0.75,0.75,0.750298
-0.7,0.56,0.611274
-0.65,0.39,0.477192
-0.6,0.24,0.349588
-0.55,0.11,0.230077
-0.5,-7.77156e-16,0.120336
-0.45,-0.09,0.0220891
-0.4,-0.16,-0.0629097
-0.35,-0.21,-0.132897
-0.3,-0.24,-0.186118
-0.25,-0.25,-0.220848
-0.2,-0.24,-0.235418
-0.15,-0.21,-0.228239
-0.1,-0.16,-0.197832
-0.05,-0.09,-0.142865
3.19189e-16,6.38378e-16,-0.062195
0.05,0.11,0.0450824
0.1,0.24,0.179579
0.15,0.39,0.341554
0.2,0.56,0.530846
0.25,0.75,0.746817
0.3,0.96,0.988295
0.35,1.19,1.25354
0.4,1.44,1.54022
0.45,1.71,1.84546
0.5,2,2.16584
0.55,2.31,2.49756
0.6,2.64,2.83653
0.65,2.99,3.17852
0.7,3.36,3.51936
0.75,3.75,3.85508
0.8,4.16,4.18209
0.85,4.59,4.49729
0.9,5.04,4.79814
0.95,5.51,5.08269
1,6,5.34962
